Unidades territoriales	Indicadores de renta media y mediana	Periodo	Total
28001 Acebeda, La	Renta neta media por persona 	2018	.
28002 Ajalvir	Renta neta media por persona 	2018	13.421
28003 Alameda del Valle	Renta neta media por persona 	2018	15.153
28004 Álamo, El	Renta neta media por persona 	2018	9.936
28005 Alcalá de Henares	Renta neta media por persona 	2018	12.583
28006 Alcobendas	Renta neta media por persona 	2018	20.148
28007 Alcorcón	Renta neta media por persona 	2018	12.919
28008 Aldea del Fresno	Renta neta media por persona 	2018	9.676
28009 Algete	Renta neta media por persona 	2018	15.204
28010 Alpedrete	Renta neta media por persona 	2018	14.460
28011 Ambite	Renta neta media por persona 	2018	10.843
28012 Anchuelo	Renta neta media por persona 	2018	11.347
28013 Aranjuez	Renta neta media por persona 	2018	11.542
28014 Arganda del Rey	Renta neta media por persona 	2018	11.002
28015 Arroyomolinos	Renta neta media por persona 	2018	13.620
28016 Atazar, El	Renta neta media por persona 	2018	.
28017 Batres	Renta neta media por persona 	2018	12.948
28018 Becerril de la Sierra	Renta neta media por persona 	2018	13.852
28019 Belmonte de Tajo	Renta neta media por persona 	2018	10.559
28021 Berrueco, El	Renta neta media por persona 	2018	11.570
28020 Berzosa del Lozoya	Renta neta media por persona 	2018	15.152
28022 Boadilla del Monte	Renta neta media por persona 	2018	21.795
28023 Boalo, El	Renta neta media por persona 	2018	14.253
28024 Braojos	Renta neta media por persona 	2018	12.820
28025 Brea de Tajo	Renta neta media por persona 	2018	9.678
28026 Brunete	Renta neta media por persona 	2018	12.504
28027 Buitrago del Lozoya	Renta neta media por persona 	2018	11.251
28028 Bustarviejo	Renta neta media por persona 	2018	11.556
28029 Cabanillas de la Sierra	Renta neta media por persona 	2018	14.138
28030 Cabrera, La	Renta neta media por persona 	2018	11.541
28031 Cadalso de los Vidrios	Renta neta media por persona 	2018	8.962
28032 Camarma de Esteruelas	Renta neta media por persona 	2018	12.296
28033 Campo Real	Renta neta media por persona 	2018	11.021
28034 Canencia	Renta neta media por persona 	2018	10.056
28035 Carabaña	Renta neta media por persona 	2018	9.816
28036 Casarrubuelos	Renta neta media por persona 	2018	11.142
28037 Cenicientos	Renta neta media por persona 	2018	8.706
28038 Cercedilla	Renta neta media por persona 	2018	12.714
28039 Cervera de Buitrago	Renta neta media por persona 	2018	12.601
28051 Chapinería	Renta neta media por persona 	2018	10.905
28052 Chinchón	Renta neta media por persona 	2018	9.898
28040 Ciempozuelos	Renta neta media por persona 	2018	10.504
28041 Cobeña	Renta neta media por persona 	2018	16.129
28046 Collado Mediano	Renta neta media por persona 	2018	14.570
28047 Collado Villalba	Renta neta media por persona 	2018	11.883
28043 Colmenar de Oreja	Renta neta media por persona 	2018	9.524
28042 Colmenar del Arroyo	Renta neta media por persona 	2018	12.021
28045 Colmenar Viejo	Renta neta media por persona 	2018	14.218
28044 Colmenarejo	Renta neta media por persona 	2018	12.654
28048 Corpa	Renta neta media por persona 	2018	10.718
28049 Coslada	Renta neta media por persona 	2018	12.506
28050 Cubas de la Sagra	Renta neta media por persona 	2018	11.356
28053 Daganzo de Arriba	Renta neta media por persona 	2018	13.749
28054 Escorial, El	Renta neta media por persona 	2018	14.063
28055 Estremera	Renta neta media por persona 	2018	9.665
28056 Fresnedillas de la Oliva	Renta neta media por persona 	2018	9.502
28057 Fresno de Torote	Renta neta media por persona 	2018	11.976
28058 Fuenlabrada	Renta neta media por persona 	2018	10.525
28059 Fuente el Saz de Jarama	Renta neta media por persona 	2018	11.732
28060 Fuentidueña de Tajo	Renta neta media por persona 	2018	9.993
28061 Galapagar	Renta neta media por persona 	2018	13.807
28062 Garganta de los Montes	Renta neta media por persona 	2018	13.699
28063 Gargantilla del Lozoya y Pinilla de Buitrago	Renta neta media por persona 	2018	14.116
28064 Gascones	Renta neta media por persona 	2018	11.793
28065 Getafe	Renta neta media por persona 	2018	12.891
28066 Griñón	Renta neta media por persona 	2018	13.054
28067 Guadalix de la Sierra	Renta neta media por persona 	2018	11.945
28068 Guadarrama	Renta neta media por persona 	2018	13.095
28069 Hiruela, La	Renta neta media por persona 	2018	.
28070 Horcajo de la Sierra-Aoslos	Renta neta media por persona 	2018	14.356
28071 Horcajuelo de la Sierra	Renta neta media por persona 	2018	.
28072 Hoyo de Manzanares	Renta neta media por persona 	2018	15.820
28073 Humanes de Madrid	Renta neta media por persona 	2018	9.709
28074 Leganés	Renta neta media por persona 	2018	11.985
28075 Loeches	Renta neta media por persona 	2018	11.695
28076 Lozoya	Renta neta media por persona 	2018	13.182
28901 Lozoyuela-Navas-Sieteiglesias	Renta neta media por persona 	2018	10.226
28078 Madarcos	Renta neta media por persona 	2018	.
28079 Madrid	Renta neta media por persona 	2018	16.700
28080 Majadahonda	Renta neta media por persona 	2018	20.220
28082 Manzanares el Real	Renta neta media por persona 	2018	13.686
28083 Meco	Renta neta media por persona 	2018	12.493
28084 Mejorada del Campo	Renta neta media por persona 	2018	10.664
28085 Miraflores de la Sierra	Renta neta media por persona 	2018	12.534
28086 Molar, El	Renta neta media por persona 	2018	10.419
28087 Molinos, Los	Renta neta media por persona 	2018	13.685
28088 Montejo de la Sierra	Renta neta media por persona 	2018	11.045
28089 Moraleja de Enmedio	Renta neta media por persona 	2018	11.415
28090 Moralzarzal	Renta neta media por persona 	2018	14.390
28091 Morata de Tajuña	Renta neta media por persona 	2018	10.126
28092 Móstoles	Renta neta media por persona 	2018	11.456
28093 Navacerrada	Renta neta media por persona 	2018	14.437
28094 Navalafuente	Renta neta media por persona 	2018	11.432
28095 Navalagamella	Renta neta media por persona 	2018	10.141
28096 Navalcarnero	Renta neta media por persona 	2018	11.341
28097 Navarredonda y San Mamés	Renta neta media por persona 	2018	15.871
28099 Navas del Rey	Renta neta media por persona 	2018	9.818
28100 Nuevo Baztán	Renta neta media por persona 	2018	12.013
28101 Olmeda de las Fuentes	Renta neta media por persona 	2018	14.271
28102 Orusco de Tajuña	Renta neta media por persona 	2018	9.812
28104 Paracuellos de Jarama	Renta neta media por persona 	2018	16.587
28106 Parla	Renta neta media por persona 	2018	9.389
28107 Patones	Renta neta media por persona 	2018	14.029
28108 Pedrezuela	Renta neta media por persona 	2018	12.806
28109 Pelayos de la Presa	Renta neta media por persona 	2018	9.090
28110 Perales de Tajuña	Renta neta media por persona 	2018	10.118
28111 Pezuela de las Torres	Renta neta media por persona 	2018	11.101
28112 Pinilla del Valle	Renta neta media por persona 	2018	12.393
28113 Pinto	Renta neta media por persona 	2018	12.406
28114 Piñuécar-Gandullas	Renta neta media por persona 	2018	11.637
28115 Pozuelo de Alarcón	Renta neta media por persona 	2018	28.326
28116 Pozuelo del Rey	Renta neta media por persona 	2018	11.243
28117 Prádena del Rincón	Renta neta media por persona 	2018	14.752
28118 Puebla de la Sierra	Renta neta media por persona 	2018	.
28902 Puentes Viejas	Renta neta media por persona 	2018	12.710
28119 Quijorna	Renta neta media por persona 	2018	11.477
28120 Rascafría	Renta neta media por persona 	2018	13.079
28121 Redueña	Renta neta media por persona 	2018	13.938
28122 Ribatejada	Renta neta media por persona 	2018	11.649
28123 Rivas-Vaciamadrid	Renta neta media por persona 	2018	14.611
28124 Robledillo de la Jara	Renta neta media por persona 	2018	.
28125 Robledo de Chavela	Renta neta media por persona 	2018	11.806
28126 Robregordo	Renta neta media por persona 	2018	.
28127 Rozas de Madrid, Las	Renta neta media por persona 	2018	20.047
28128 Rozas de Puerto Real	Renta neta media por persona 	2018	11.898
28129 San Agustín del Guadalix	Renta neta media por persona 	2018	16.035
28130 San Fernando de Henares	Renta neta media por persona 	2018	12.099
28131 San Lorenzo de El Escorial	Renta neta media por persona 	2018	13.600
28132 San Martín de la Vega	Renta neta media por persona 	2018	10.076
28133 San Martín de Valdeiglesias	Renta neta media por persona 	2018	9.976
28134 San Sebastián de los Reyes	Renta neta media por persona 	2018	15.116
28135 Santa María de la Alameda	Renta neta media por persona 	2018	10.721
28136 Santorcaz	Renta neta media por persona 	2018	11.354
28137 Santos de la Humosa, Los	Renta neta media por persona 	2018	10.996
28138 Serna del Monte, La	Renta neta media por persona 	2018	.
28140 Serranillos del Valle	Renta neta media por persona 	2018	11.868
28141 Sevilla la Nueva	Renta neta media por persona 	2018	12.029
28143 Somosierra	Renta neta media por persona 	2018	.
28144 Soto del Real	Renta neta media por persona 	2018	15.364
28145 Talamanca de Jarama	Renta neta media por persona 	2018	11.754
28146 Tielmes	Renta neta media por persona 	2018	9.904
28147 Titulcia	Renta neta media por persona 	2018	10.752
28148 Torrejón de Ardoz	Renta neta media por persona 	2018	11.638
28149 Torrejón de la Calzada	Renta neta media por persona 	2018	11.919
28150 Torrejón de Velasco	Renta neta media por persona 	2018	10.823
28151 Torrelaguna	Renta neta media por persona 	2018	11.417
28152 Torrelodones	Renta neta media por persona 	2018	20.255
28153 Torremocha de Jarama	Renta neta media por persona 	2018	13.626
28154 Torres de la Alameda	Renta neta media por persona 	2018	10.841
28903 Tres Cantos	Renta neta media por persona 	2018	19.083
28155 Valdaracete	Renta neta media por persona 	2018	10.310
28156 Valdeavero	Renta neta media por persona 	2018	11.306
28157 Valdelaguna	Renta neta media por persona 	2018	10.581
28158 Valdemanco	Renta neta media por persona 	2018	12.386
28159 Valdemaqueda	Renta neta media por persona 	2018	9.700
28160 Valdemorillo	Renta neta media por persona 	2018	11.659
28161 Valdemoro	Renta neta media por persona 	2018	12.043
28162 Valdeolmos-Alalpardo	Renta neta media por persona 	2018	14.969
28163 Valdepiélagos	Renta neta media por persona 	2018	11.136
28164 Valdetorres de Jarama	Renta neta media por persona 	2018	12.090
28165 Valdilecha	Renta neta media por persona 	2018	9.812
28166 Valverde de Alcalá	Renta neta media por persona 	2018	12.280
28167 Velilla de San Antonio	Renta neta media por persona 	2018	11.994
28168 Vellón, El	Renta neta media por persona 	2018	11.065
28169 Venturada	Renta neta media por persona 	2018	18.663
28171 Villa del Prado	Renta neta media por persona 	2018	9.789
28170 Villaconejos	Renta neta media por persona 	2018	9.087
28172 Villalbilla	Renta neta media por persona 	2018	14.777
28173 Villamanrique de Tajo	Renta neta media por persona 	2018	9.805
28174 Villamanta	Renta neta media por persona 	2018	10.622
28175 Villamantilla	Renta neta media por persona 	2018	11.487
28176 Villanueva de la Cañada	Renta neta media por persona 	2018	17.023
28178 Villanueva de Perales	Renta neta media por persona 	2018	6.782
28177 Villanueva del Pardillo	Renta neta media por persona 	2018	14.759
28179 Villar del Olmo	Renta neta media por persona 	2018	12.683
28180 Villarejo de Salvanés	Renta neta media por persona 	2018	10.236
28181 Villaviciosa de Odón	Renta neta media por persona 	2018	17.646
28182 Villavieja del Lozoya	Renta neta media por persona 	2018	12.993
28183 Zarzalejo	Renta neta media por persona 	2018	9.858
