,district,buy_price,rent_price
0,Arganzuela,427500.0,1502.0
1,Barajas,146000.0,728.0
2,Carabanchel,929500.0,1262.0
3,Centro,360000.0,1346.0
4,Chamartin,820000.0,1381.0
5,Chamberi,259000.0,1064.5
6,Ciudad Lineal,797000.0,1451.0
7,Fuencarral-Pardo,549000.0,1496.0
8,Latina,175000.0,833.0
9,Moncloa-Aravaca,629000.0,1255.0
10,Moratalaz,550000.0,1553.0
11,Puente de Vallecas,136750.0,693.0
12,Retiro,165000.0,798.0
13,Salamanca,520000.0,1553.0
14,San Blas-Canillejas,196000.0,904.0
15,Tetuan,710000.0,1627.0
16,Usera,215000.0,964.0
17,Vicalvaro,253896.5,1077.5
18,Villa de Vallecas,160000.0,780.0
19,Villaverde,299000.0,1158.5
